Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  12/1939;3.8;0;12.7;6.4;7.1;7.6;0;0.5;0;0;0;20.9;4.9;0.1;0.8;0;7.4;15.1;2.4;0.7;0.4;1;0.1;12.1;7.7;13.1;19.3;5;4.1;0;0;20.9;153.2
  01/1940;0.2;0;2;0;0;19.7;74.2;49.7;21.7;25.5;46.4;14.4;1.7;1.5;0;0;5.5;0;3;0.1;0.1;9.8;1.9;0.3;3.1;3.9;0;0.1;0.4;0.5;4.9;74.2;290.6
  02/1940;37.9;20.1;38.7;0.1;0.2;1.7;12.5;0.1;0.2;0.1;6.9;12.5;19;11.9;2.5;0.8;1.8;15.9;27.6;1.9;0.1;10.7;22.7;15.4;1.3;0.6;0;0.3;0.6;---;---;38.7;264.1
  03/1940;0.2;0.1;0.1;0.2;0.2;0.1;0;4.1;2.1;28.6;1.8;0.2;0.2;1;1.5;0;0.1;0.1;0;0.2;0.4;0.2;0.2;1.9;0.1;0.2;0.2;16.8;2.7;2.2;0.1;28.6;65.8
  04/1940;0;0.1;0;0;0.1;2.2;0.2;15.2;0.2;0.4;0.1;0.1;1.5;0.1;0.2;1.5;0;0;0.4;0.1;0;0;0;0.2;0;5.5;0.1;13.9;0.2;0;---;15.2;42.3
  05/1940;1.5;16.7;4.5;0;0;1.2;0.8;0.2;0.4;0.2;0;0.1;0.4;0.2;0;0;0.3;0.3;0.3;0.3;0.3;0.3;0.2;0.3;0.3;0.5;0.2;0.1;0;0;0.3;16.7;29.9
  06/1940;4.3;0.4;0.3;0.3;0.3;0.3;0.5;0.3;0.3;0.3;0;0.1;0.2;0.3;0;1;1.1;0;0.4;0.1;0.1;0;0.2;0.9;0.4;0.3;0.1;0.1;0.2;0;---;4.3;12.8
  07/1940;0.2;0;0.5;0.5;0.4;0.4;0.1;0.1;0;0.2;0.2;0;0;0;0;0.1;0.2;0.2;0.2;0;0;6.8;0;0;0.1;0;0;0;0.3;0;0.3;6.8;10.8
  08/1940;0.1;0;0.1;0;0.3;0;0;8.7;0.7;0;0;0;0;0.3;0;0.2;0.3;0;0.1;0;0;0;0;0;0;0;5.7;0.5;0.4;0.1;0;8.7;17.5
  09/1940;0;0.1;0;0;0;0;0;0.2;0.3;0.1;1.3;18.1;0;0.1;0.3;0.2;0.1;0.2;0.3;0.1;5.1;4.4;0.1;10;6;0.5;0.1;0.2;0;0;---;18.1;47.8
  10/1940;0;0;0.4;0;0.2;0;0.1;1.3;14.8;0;23.2;9.2;3.9;0.1;0;0.2;0.6;2.3;1.8;0;17.1;0.1;0;2.9;0.2;7.3;1.8;52.3;3.3;2.6;0.4;52.3;146.1
  11/1940;0;0.1;0;2.9;0.5;0.2;0;0;1;0.1;2.5;4.2;0.5;4.2;2.9;2.1;1.2;0.2;0;0;0;0;0.2;0.5;0;16.3;11.4;14.8;0.8;0.2;---;16.3;66.8
  12/1940;11.1;0;5.5;0.2;0.1;0.3;0;0;0;0.1;1;6.3;0;0.8;57.5;1.5;0.8;0;0.2;1.7;4.8;6.4;7.6;0.8;0.1;7.3;0.8;4.8;0;5.9;12.6;57.5;138.2
  01/1941;8.6;0.6;10.3;11.2;0.1;0.2;0.2;0.3;13.1;9.5;0;0.9;1.4;0;0.4;0;0.2;0.1;0.1;0.1;0.3;0.4;5.7;23.2;2.1;0.1;0.1;0.1;3.2;1.4;0;23.2;93.9
  02/1941;10.8;1.4;0.6;0;3.6;12.9;3.7;1;3.8;0;0.3;1.1;0;0.2;0.2;4.3;18.2;31.5;0.4;0.3;0.2;4.2;2.3;23.7;15.4;1.1;0;0.1;---;---;---;31.5;141.3
  03/1941;0;0;26.1;1.2;2.6;1.8;4.4;1.3;0;0.1;0;11.9;11.1;0.3;3.9;0.2;0;0.6;0;0;13.8;4.3;1.6;14.3;8.9;0;0;0.1;0.2;0.2;11;26.1;119.9
  04/1941;0.1;2.5;0.8;0.4;0.1;0;0.3;0.5;0;0.2;13.9;0.3;0;0.1;0;0.1;4.6;0.7;0.3;0.1;0;0.1;0.1;0.2;0;0;0;0;0;0;---;13.9;25.4
  05/1941;0;0;0.1;0;0;0;1;0;0.4;0.4;0;0.1;0;0.1;0.8;57.8;0.9;0;0;0.1;0.3;0.1;0.3;0.2;0.2;0.2;0;8.1;0;0;0.2;57.8;71.3
  06/1941;0.2;0.4;0;0.4;0;0;0.4;0.5;0.3;0.1;0.1;5.2;4;0.2;0.3;0;0.2;0.2;0.1;0;0;0.2;0;0.4;16.5;7.2;0;0.4;0.3;0.4;---;16.5;38
  07/1941;0.7;0.2;0.4;0.1;0;0.4;0;0.2;0.1;7.4;0.2;0.5;0.3;0;16.5;28.6;0;0.2;0;0.2;0;0;0.3;0.3;0.1;0;0;0;0;0.3;0.1;28.6;57.1
  08/1941;0;0.1;0.8;0;5.4;10.2;0.2;0.1;0.4;0;0;0;0;0;7.5;2.5;7.2;0.6;0.1;0;0;0.1;0;0.2;0;0;0;0.3;0;0;0;10.2;35.7
  09/1941;0;2.5;20;2.7;0.4;27.5;0.7;0.1;0.2;0.7;2.6;0;1.4;29.3;0;0.4;0;4.8;0.2;0.2;12;27;0.7;22.3;1.6;12.2;23;0.3;0.1;0;---;29.3;192.9
  10/1941;16.5;0.1;0.3;0.7;6;0.5;0;10.9;5.8;0.1;0.4;0;0;0;0.2;12.2;1.1;0;0.3;0;0.6;0.3;0.8;0;0.2;0.3;0;0;0.1;0.1;24.6;24.6;82.1
  11/1941;4.7;0;0.9;7.3;5.5;22.5;0.7;9.1;0.7;0;0.1;13.1;4.1;0.1;0;0;53.8;0.6;0;0;23;0.8;1.9;0;0;13.4;4.7;0.3;0.5;0.4;---;53.8;168.2
  12/1941;15.6;1;1.1;0;0;0.7;8.5;0;6.6;59.3;2.1;0;6.4;0.2;27.1;1.2;0;7.8;1.4;0.6;0.4;0;18.8;0;1.1;0.8;0;0;2.1;4.4;22.6;59.3;189.8
  01/1942;1.1;0;0;0;2.8;1.8;0.4;0;0;30.8;0;0.2;1.3;0;30.7;0;23.4;0;0;23.5;0;0.1;0;0.7;0.1;0;33.1;0.8;8.6;6.4;20.6;33.1;186.4
  02/1942;2.2;24.4;11.7;1.8;0.1;0;2.3;13.5;13.4;6.2;17;8.8;10.3;0;0.8;4;10.7;0.1;56.2;18.9;0;1.2;0;0;0;0;0;4.5;---;---;---;56.2;208.1
  03/1942;20.1;0.2;0;5.9;0.2;10.4;0.2;0;0.1;0.6;21.8;49.8;0.8;0;0;0;1.6;2;1.8;0;0;0.2;0;0;0;0.1;9.4;0;0;0;23;49.8;148.2
  04/1942;7;0.3;0.1;0;0;0.2;2.5;2.8;0.2;0;0.1;0;4;9.7;2.5;4;0.1;0.3;7;57.2;0;0;33;1.1;1.1;0.1;0;0;0;0.1;---;57.2;133.4
  05/1942;0.2;0;0.1;0;1.1;1.8;5.9;0;0;0;0.1;0;0.2;0;0.3;0;0.1;0;0;0;0;0.4;0;0.1;1.1;0;0.3;0;0;0;0;5.9;11.7
  06/1942;0;0.1;0;0.1;1.1;0;0.4;0.4;0;23.4;14;0.4;0.1;0.1;0;32.4;0.9;0;2.4;0.2;0.4;0;0.3;0.2;0;0;0;0.1;0.3;0.3;---;32.4;77.6
