Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 1945-11-30
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
1975-12-31;21;227.1;27.193548;22.029677;18.780645;83.169355;
1976-01-31;21;269.7;27.709677;22.740645;19.448387;83.112903;
1976-02-29;20;385.2;25.696552;20.922069;18.113793;86.155172;
1976-03-31;15;124.4;26.716129;21.462581;18.287097;84.645161;
1976-04-30;12;204.9;24.623333;19.284667;16.08;85.65;
1976-05-31;14;168.6;21.570968;17.030323;14.051613;88.516129;
1976-06-30;6;72.1;21.263333;15.950667;12.103333;87.525;
1976-07-31;8;153.3;20.454839;15.125806;11.116129;90.153226;
1976-08-31;11;143.6;21.922581;16.206452;12.025806;90.008065;
1976-09-30;14;187.9;21.116667;16.461333;13.15;87.766667;
1976-10-31;12;74.3;23.2;17.865161;14.209677;87.766129;
1976-11-30;12;86.1;26.326667;20.154667;15.886667;90.733333;
1976-12-31;21;252.9;26.222581;21.269032;17.877419;85.604839;
1977-01-31;20;295.2;27.577419;22.187333;18.59;80.233333;
1977-02-28;13;153.6;30.746429;24.133571;19.360714;70.8125;
1977-03-31;13;155.7;28.258065;22.56129;19.03871;77.879032;
1977-04-30;10;93.3;23.646667;19.345333;16.406667;82.741667;
1977-05-31;5;96.4;23.206452;17.66;13.712903;79.814516;
1977-06-30;7;40.4;22.226667;17.286;13.87;82.375;
1977-07-31;3;6.8;25.280645;19.000645;14.235484;67.427419;
1977-08-31;4;10.1;25.003226;18.78;14.919355;73.354839;
1977-09-30;12;102.5;24.793333;18.858;14.813333;77.775;
1977-10-31;10;77.8;26.135484;20.52;16.877419;77.9;
1977-11-30;14;191.1;25.696667;20.672667;17.636667;82.341667;
1977-12-31;16;230.2;25.109677;20.083226;16.73871;82.782258;
1978-01-31;15;147.1;28.509677;22.875484;19.187097;77.282258;
1978-02-28;16;178.3;27.764286;22.23;18.453571;75.883929;
1978-03-31;12;251.4;27.577419;22.309677;18.770968;76.16129;
1978-04-30;0;0;24.386667;18.750667;15.21;76.633333;
1978-05-31;9;105.3;22;16.366452;12.474194;76.306452;
1978-06-30;1;69.9;21.536667;15.777333;11.76;73.208333;
1978-07-31;9;61.6;22.606667;16.878667;13.151613;76.782258;
1978-08-31;4;4.4;22.448387;16.162581;11.912903;71.895161;
1978-09-30;5;41;23.496667;17.512667;13.733333;74.383333;
1978-10-31;11;68.2;26.916129;19.902581;15.216129;72.451613;
1978-11-30;15;423.7;25.23;20.039333;15.956667;77.808333;
1978-12-31;13;253;26.16129;21.008387;16.912903;74.120968;
1979-01-31;11;147.2;24.225806;19.44;16.209677;79.451613;
1979-02-28;17;133.7;27.225;21.95;18.439286;79.321429;
1979-03-31;9;65.3;25.822581;20.41871;16.964516;77.556452;
1979-04-30;9;90.3;23.973333;18.772667;15.26;77.741667;
1979-05-31;12;101;23.046667;18.298;14.82;75.491935;
1979-06-30;1;4.4;21.333333;15.623448;11.865517;74.341667;
1979-07-31;8;42;20.932258;15.117241;10.735484;71.185484;
1979-08-31;8;76.6;24;18.008387;14.003226;79.145161;
1979-09-30;13;127.6;22.056667;17.196;13.446667;80.233333;
1979-10-31;14;133;26.058065;20.564;16.945161;78.75;
1979-11-30;12;233.6;24.976667;19.816667;15.943333;80.566667;
1979-12-31;14;115.8;26.151613;21.618065;18.458065;82.403226;
1980-01-31;15;182.4;26.025806;21.263226;18.06129;79.983871;
1980-02-29;17;194.3;27.258621;22.16;18.82069;80.008621;
1980-03-31;12;125.4;28.935484;23.544516;19.577419;72.725806;
1980-04-30;10;119.5;25.046667;20.256552;17.173333;80.705357;
1980-05-31;3;5.4;24.848387;19.267742;15.312903;72.629032;
1980-06-30;7;73.5;21.136667;15.819333;11.97;73.325;
1980-07-31;6;20;22.867742;16.925161;12.941935;74.112903;
1980-08-31;9;26.2;22.896774;17.349032;13.232258;75.072581;
1980-09-30;7;55.1;21.766667;16.078;12.386667;75.658333;
1980-10-31;9;70.2;25.645161;19.849032;15.535484;71.153226;
1980-11-30;11;151.7;25.446667;19.924667;16.476667;77.541667;
1980-12-31;20;289.1;null;null;null;80.447917;
1981-01-31;20;208.9;null;null;null;80.785714;
1981-02-28;13;225.3;29.385714;23.409286;19.528571;72.616071;
1981-03-31;10;148.6;26.954839;21.690968;18.496774;76.830645;
1981-04-30;6;40.5;null;null;null;74.901786;
1981-05-31;5;32.6;24.103226;18.567097;14.980645;76.790323;
1981-06-30;6;65.8;20.77;15.796667;12.236667;71.316667;
1981-07-31;8;51.1;19.806452;14.279355;10.283871;71.08871;
1981-08-31;5;14.5;22.86129;16.956774;12.822581;69.870968;
1981-09-30;6;8.3;26.023333;19.079333;14.516667;64.991667;
1981-10-31;15;198.8;22.864516;17.77871;14.619355;79.080645;
1981-11-30;16;165.4;26.093333;21.083333;17.84;78.266667;
1981-12-31;12;120.8;25.583871;21.108387;17.880645;74.080645;
1982-01-31;14;217.7;24.887097;20.244516;17.467742;80.370968;
1982-02-28;12;275.9;null;null;null;74.885417;
1982-03-31;15;143.2;null;null;null;84.607143;
1982-04-30;8;35.4;22.993333;18.252667;15.533333;79.158333;
1982-05-31;7;45.5;22.074194;16.804516;13.045161;74.741935;
1982-06-30;16;161.9;22.793333;18.095333;14.693333;77.633333;
1982-07-31;5;41.9;22.570968;16.938065;13.019355;73.403226;
1982-08-31;7;72.4;23.858065;17.959355;13.793548;73.185484;
1982-09-30;6;9.5;24.173333;18.059333;14.24;70.216667;
1982-10-31;17;197.5;25;19.327742;15.583871;76.104839;
1982-11-30;17;173.5;26.983333;21.947333;18.57;75.862069;
1982-12-31;23;269.5;24.487097;20.482581;17.916129;82.209677;
1983-01-31;22;239;null;null;null;null;
1983-02-28;null;null;null;null;null;null;
1983-03-31;null;null;null;null;null;null;
1983-04-30;null;null;null;null;null;null;
1983-05-31;null;null;null;null;null;null;
1983-06-30;null;null;null;null;null;null;
1983-07-31;null;null;null;null;null;null;
1983-08-31;null;null;null;null;null;null;
1983-09-30;null;null;null;null;null;null;
1983-10-31;null;null;null;null;null;null;
1983-11-30;null;null;null;null;null;null;
1983-12-31;20;179;null;null;null;78.419355;
1984-01-31;16;259.3;29.732258;23.987742;19.867742;71.16129;
1984-02-29;9;32.5;31.731034;24.812414;20.624138;70.5;
1984-03-31;15;54;27.909677;21.776774;18.367742;77.58871;
1984-04-30;13;96.8;24.473333;19.483333;16.05;80.416667;
1984-05-31;9;113;25.641935;20.112903;16.090323;75.645161;
1984-06-30;1;.1;23.776667;17.811333;13.423333;71.975;
1984-07-31;5;26.7;23.174194;17.365806;13.387097;71.645161;
1984-08-31;12;110.6;21.277419;16.003226;12.203226;75.346774;
1984-09-30;8;162.5;23.41;17.117333;12.956667;71.091667;
1984-10-31;2;31.1;26.990323;20.456129;16.264516;70.91129;
1984-11-30;11;140;26.76;20.815333;17.28;74.8;
1984-12-31;16;139.6;25.754839;20.730968;17.406452;79.58871;
1985-01-31;18;190.1;25.364516;20.766452;17.764516;82.620968;
1985-02-28;20;281.4;28.807143;23.016429;19.246429;77.732143;
1985-03-31;16;166.9;27.648387;22.451613;19.164516;79;
1985-04-30;12;31.4;26.186667;21.225333;17.823333;76.658333;
1985-05-31;6;107.2;23.4;17.627097;13.625806;75.66129;
1985-06-30;5;14.2;21.09;15.266;11.136667;69.616667;
1985-07-31;1;.6;21.651613;15.260645;10.622581;68.370968;
1985-08-31;7;21.6;25.348387;18.036774;12.990323;66.951613;
1985-09-30;10;110.1;23.753333;17.561333;14.016667;75.9;
1985-10-31;7;11.2;27.025806;19.845806;15.3;70.459677;
1985-11-30;10;86;27.526667;21.125333;16.873333;70.35;
1985-12-31;11;176.3;27.903226;21.632903;17.429032;71.927419;
1986-01-31;15;250.7;29.648387;23.580645;19.354839;72.056452;
1986-02-28;19;268.4;27.932143;22.865714;19.582143;78.973214;
1986-03-31;16;230.6;27.454839;22.16;18.770968;79.306452;
1986-04-30;9;84.9;26.55;21.286;17.833333;75.791667;
1986-05-31;12;84.6;24.429032;19.473548;16.348387;78.459677;
1986-06-30;2;2.4;22.603333;16.642667;12.133333;72.408333;
